4.14266586,6.08464241
4.22344255,4.01628304
3.59298801,4.71201372
2.65782261,6.44150209
3.60783625,7.46745777
4.13703680,5.77173233
5.29137230,5.50258160
3.52484345,5.58099174
3.19854927,5.02616739
4.10685015,6.25590181
4.93688059,6.11859846
4.88888407,5.44272804
2.78488278,6.86060953
4.51981974,5.37211752
3.81606984,4.91869211
3.65293312,5.96610403
4.67144775,5.41612577
2.70831990,6.59093714
4.55739021,4.99496889
3.24194002,6.67913771
3.60642433,5.57973051
4.00274420,6.71416140
4.05823183,6.73771954
5.03137445,5.53446341
4.11906195,5.20241785
3.26792145,7.33421564
3.24031353,5.64430761
4.12319422,4.78767872
2.95320129,4.38241291
3.62764144,6.97005129
4.05682039,4.49002123
4.47309256,4.45421410
4.40924597,6.57050276
3.18974853,6.69179630
3.07298279,5.29670143
3.31582880,6.14771938
3.45830989,5.86284113
3.24423885,4.02735806
3.42790580,6.29293728
5.16305447,5.02299595
4.57327890,7.00407362
5.01697254,6.57371187
4.40691185,4.57795954
3.52174163,4.12309122
2.85371542,6.78712654
3.63465571,6.56109285
3.20684552,4.63131905
2.10435557,5.39397240
3.64782000,5.87188959
5.90828753,5.54672432
4.85220146,5.14162350
5.40803003,6.59482622
3.71110487,3.96497869
4.64186954,6.75943518
4.97331095,5.84524536
3.16062427,5.88586521
5.28654003,5.81227255
2.17919898,5.59816933
4.53230524,5.86805201
5.27348137,7.27975941
4.34637070,4.55973816
5.45566225,4.64365435
4.13319635,7.19403219
5.45234203,5.23778200
3.73289013,4.28609324
5.47256374,4.53191757
4.77569103,4.34567022
3.81622386,5.02063990
5.50795460,5.60463905
4.99895525,6.82883739
3.70534587,3.96852779
3.84386849,5.51117373
5.07466173,4.68852472
4.71450233,6.70364428
3.83193898,6.51615906
3.04865289,4.10918236
2.43652153,5.42000914
2.36876822,5.83275461
4.26447964,5.14338207
5.75341320,5.83199835
4.09361124,5.05770063
2.94968820,4.31273842
2.61787462,6.45867348
3.75578880,6.64097118
4.27939749,5.28370762
5.33928299,6.94702101
4.24060774,3.97943640
3.80031323,7.81286621
4.58599091,6.22800541
3.74812794,5.34682417
3.28651023,6.82666445
5.57544470,5.66265440
3.35319042,6.32942724
4.85535145,7.48444366
5.46423101,6.48674917
3.39422917,7.26285744
4.66246367,7.66667461
3.55918264,5.32424307
4.06725168,4.44423819
5.03629494,4.46420765
5.14253044,6.53604984
4.01331472,7.35955858
4.50757885,6.28660393
2.86387062,5.84596634
5.56806326,5.93049335
4.22743464,7.47439432
3.09814453,5.37895775
2.96834064,5.67347240
4.17757845,5.66493607
3.32476401,3.93271327
5.87614870,5.72050190
4.61159611,7.66992760
2.31175232,5.03973293
3.69285846,7.10285330
3.22155809,4.41626930
2.32167745,5.42560291
2.98772001,5.36498642
3.73119473,5.04380083
4.41163540,6.34055662
2.56650233,5.19561863
